Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Trimestre (Código),Trimestre,Variável (Código),Variável,Tipo de inspeção (Código),Tipo de inspeção,Referência temporal (Código),Referência temporal
3,Unidade da Federação,1020,Unidades,279,35,São Paulo,199701,1º trimestre 1997,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,462386,35,São Paulo,199701,1º trimestre 1997,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,453565,35,São Paulo,199701,1º trimestre 1997,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199701,1º trimestre 1997,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199701,1º trimestre 1997,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,273,35,São Paulo,199702,2º trimestre 1997,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,462267,35,São Paulo,199702,2º trimestre 1997,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,457544,35,São Paulo,199702,2º trimestre 1997,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199702,2º trimestre 1997,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199702,2º trimestre 1997,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,261,35,São Paulo,199703,3º trimestre 1997,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,472550,35,São Paulo,199703,3º trimestre 1997,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,498648,35,São Paulo,199703,3º trimestre 1997,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199703,3º trimestre 1997,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199703,3º trimestre 1997,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,264,35,São Paulo,199704,4º trimestre 1997,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,545345,35,São Paulo,199704,4º trimestre 1997,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,537281,35,São Paulo,199704,4º trimestre 1997,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199704,4º trimestre 1997,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199704,4º trimestre 1997,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,259,35,São Paulo,199801,1º trimestre 1998,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,496211,35,São Paulo,199801,1º trimestre 1998,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,492776,35,São Paulo,199801,1º trimestre 1998,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199801,1º trimestre 1998,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199801,1º trimestre 1998,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,252,35,São Paulo,199802,2º trimestre 1998,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,467487,35,São Paulo,199802,2º trimestre 1998,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,465121,35,São Paulo,199802,2º trimestre 1998,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199802,2º trimestre 1998,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199802,2º trimestre 1998,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,251,35,São Paulo,199803,3º trimestre 1998,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,427736,35,São Paulo,199803,3º trimestre 1998,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,424648,35,São Paulo,199803,3º trimestre 1998,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199803,3º trimestre 1998,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199803,3º trimestre 1998,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,252,35,São Paulo,199804,4º trimestre 1998,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,500256,35,São Paulo,199804,4º trimestre 1998,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,497180,35,São Paulo,199804,4º trimestre 1998,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199804,4º trimestre 1998,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199804,4º trimestre 1998,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,253,35,São Paulo,199901,1º trimestre 1999,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,479443,35,São Paulo,199901,1º trimestre 1999,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,474650,35,São Paulo,199901,1º trimestre 1999,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199901,1º trimestre 1999,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199901,1º trimestre 1999,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,240,35,São Paulo,199902,2º trimestre 1999,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,451758,35,São Paulo,199902,2º trimestre 1999,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,449636,35,São Paulo,199902,2º trimestre 1999,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199902,2º trimestre 1999,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199902,2º trimestre 1999,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,235,35,São Paulo,199903,3º trimestre 1999,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,452664,35,São Paulo,199903,3º trimestre 1999,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,448780,35,São Paulo,199903,3º trimestre 1999,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199903,3º trimestre 1999,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199903,3º trimestre 1999,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,235,35,São Paulo,199904,4º trimestre 1999,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,476278,35,São Paulo,199904,4º trimestre 1999,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,473980,35,São Paulo,199904,4º trimestre 1999,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199904,4º trimestre 1999,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,199904,4º trimestre 1999,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,232,35,São Paulo,200001,1º trimestre 2000,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,534654,35,São Paulo,200001,1º trimestre 2000,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,528412,35,São Paulo,200001,1º trimestre 2000,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200001,1º trimestre 2000,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200001,1º trimestre 2000,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,226,35,São Paulo,200002,2º trimestre 2000,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,482478,35,São Paulo,200002,2º trimestre 2000,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,476276,35,São Paulo,200002,2º trimestre 2000,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200002,2º trimestre 2000,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200002,2º trimestre 2000,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,223,35,São Paulo,200003,3º trimestre 2000,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,540656,35,São Paulo,200003,3º trimestre 2000,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,538834,35,São Paulo,200003,3º trimestre 2000,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200003,3º trimestre 2000,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200003,3º trimestre 2000,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,224,35,São Paulo,200004,4º trimestre 2000,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,574883,35,São Paulo,200004,4º trimestre 2000,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,573260,35,São Paulo,200004,4º trimestre 2000,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200004,4º trimestre 2000,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200004,4º trimestre 2000,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,224,35,São Paulo,200101,1º trimestre 2001,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,544806,35,São Paulo,200101,1º trimestre 2001,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,540266,35,São Paulo,200101,1º trimestre 2001,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200101,1º trimestre 2001,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200101,1º trimestre 2001,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,225,35,São Paulo,200102,2º trimestre 2001,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,523596,35,São Paulo,200102,2º trimestre 2001,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,521257,35,São Paulo,200102,2º trimestre 2001,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200102,2º trimestre 2001,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200102,2º trimestre 2001,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,222,35,São Paulo,200103,3º trimestre 2001,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,538240,35,São Paulo,200103,3º trimestre 2001,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,534765,35,São Paulo,200103,3º trimestre 2001,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200103,3º trimestre 2001,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200103,3º trimestre 2001,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,227,35,São Paulo,200104,4º trimestre 2001,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,571794,35,São Paulo,200104,4º trimestre 2001,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,567656,35,São Paulo,200104,4º trimestre 2001,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200104,4º trimestre 2001,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200104,4º trimestre 2001,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,221,35,São Paulo,200201,1º trimestre 2002,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,573078,35,São Paulo,200201,1º trimestre 2002,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,569904,35,São Paulo,200201,1º trimestre 2002,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200201,1º trimestre 2002,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200201,1º trimestre 2002,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,219,35,São Paulo,200202,2º trimestre 2002,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,601206,35,São Paulo,200202,2º trimestre 2002,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,599243,35,São Paulo,200202,2º trimestre 2002,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200202,2º trimestre 2002,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200202,2º trimestre 2002,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,221,35,São Paulo,200203,3º trimestre 2002,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,577878,35,São Paulo,200203,3º trimestre 2002,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,575991,35,São Paulo,200203,3º trimestre 2002,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200203,3º trimestre 2002,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200203,3º trimestre 2002,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,221,35,São Paulo,200204,4º trimestre 2002,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,631005,35,São Paulo,200204,4º trimestre 2002,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,628625,35,São Paulo,200204,4º trimestre 2002,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200204,4º trimestre 2002,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200204,4º trimestre 2002,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,219,35,São Paulo,200301,1º trimestre 2003,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,625437,35,São Paulo,200301,1º trimestre 2003,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,623538,35,São Paulo,200301,1º trimestre 2003,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200301,1º trimestre 2003,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200301,1º trimestre 2003,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,215,35,São Paulo,200302,2º trimestre 2003,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,564784,35,São Paulo,200302,2º trimestre 2003,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,561731,35,São Paulo,200302,2º trimestre 2003,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200302,2º trimestre 2003,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200302,2º trimestre 2003,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,206,35,São Paulo,200303,3º trimestre 2003,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,569737,35,São Paulo,200303,3º trimestre 2003,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,567661,35,São Paulo,200303,3º trimestre 2003,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200303,3º trimestre 2003,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200303,3º trimestre 2003,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,205,35,São Paulo,200304,4º trimestre 2003,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,592943,35,São Paulo,200304,4º trimestre 2003,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,589076,35,São Paulo,200304,4º trimestre 2003,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200304,4º trimestre 2003,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200304,4º trimestre 2003,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,207,35,São Paulo,200401,1º trimestre 2004,151,Número de informantes,118225,Total,115236,Total do trimestre
